open,high,low,close,volume,datetime
135.0,135.0,134.9,134.9,500,1665993600000
134.5,134.5,134.5,134.5,250,1665994200000
134.95,134.95,134.95,134.95,100,1665995100000
134.23,134.23,134.23,134.23,100,1665997500000
135.0,135.0,135.0,135.0,100,1666000800000
135.0,135.0,135.0,135.0,100,1666002900000
135.0,135.0,135.0,135.0,137,1666003800000
134.89,135.6,134.89,135.5,18345,1666004400000
135.15,135.15,135.15,135.15,300,1666005000000
135.15,135.15,135.15,135.15,200,1666005300000
135.35,135.35,135.3,135.3,990,1666005900000
135.34,135.34,135.33,135.33,320,1666006200000
135.05,135.05,135.05,135.05,220,1666006800000
135.1,135.1,135.01,135.01,600,1666007400000
135.15,135.15,135.13,135.13,686,1666007700000
135.14,135.39,135.14,135.39,1588,1666008000000
135.07,135.07,135.07,135.07,300,1666008300000
135.1,135.1,134.99,134.99,1500,1666008600000
134.85,135.1,134.85,135.1,230,1666008900000
135.1,135.28,135.05,135.05,748,1666009200000
135.1,135.1,134.96,135.1,839,1666009500000
135.16,135.45,135.15,135.45,770,1666009800000
135.3,135.3,135.26,135.26,600,1666010100000
135.37,135.6,135.25,135.25,700,1666010400000
135.25,135.8,135.25,135.8,1740,1666010700000
135.944,135.944,135.8,135.88,604,1666011000000
135.8,136.0,135.8,135.88,1973,1666011300000
136.0,136.39,136.0,136.39,2758,1666011600000
136.4,136.4,136.4,136.4,100,1666011900000
136.36,136.54,136.25,136.25,1014,1666012200000
136.55,136.92,136.55,136.75,1824,1666012500000
136.77,136.9,136.55,136.7,10738,1666012800000
136.61,136.97,136.61,136.97,1000,1666013100000
136.98,137.03,135.86,135.865,213916,1666013400000
135.8001,136.63,135.6201,136.265,189606,1666013700000
136.25,137.28,136.225,136.56,241002,1666014000000
136.51,136.51,135.2114,135.372,217835,1666014300000
135.425,135.82,135.0296,135.3201,70877,1666014600000
135.45,135.5,133.93,134.27,154571,1666014900000
134.27,134.45,133.4,133.795,162677,1666015200000
133.795,133.89,133.3,133.31,114724,1666015500000
133.28,134.5583,133.2601,134.5182,113909,1666015800000
134.515,135.29,134.21,134.9906,117453,1666016100000
135.0894,135.74,135.0326,135.6799,151763,1666016400000
135.61,135.61,134.94,135.26,147617,1666016700000
135.23,135.75,135.045,135.4599,126360,1666017000000
135.45,136.0,135.45,135.93,92432,1666017300000
135.9216,136.1094,135.4435,135.4435,99579,1666017600000
135.52,135.63,134.8852,135.02,93660,1666017900000
134.99,134.995,134.23,134.41,87173,1666018200000
134.42,134.42,133.82,134.3092,86534,1666018500000
134.31,135.29,134.3,135.15,76245,1666018800000
135.12,135.31,134.9,134.9704,68373,1666019100000
