open,high,low,close,volume,datetime
232.0,232.05,231.52,231.52,15431,1665993600000
231.25,231.25,231.22,231.22,222,1665993900000
231.2,231.2,231.2,231.2,100,1665994500000
231.08,231.08,231.08,231.08,100,1665995100000
231.29,231.29,231.29,231.29,100,1665995700000
231.45,231.45,231.45,231.45,100,1665996900000
231.5,231.52,231.5,231.52,720,1665997800000
231.6,231.6,231.6,231.6,470,1665999300000
231.6,231.6,231.6,231.6,200,1665999600000
231.6,231.68,231.6,231.68,497,1665999900000
231.68,231.68,231.61,231.61,350,1666000200000
231.55,231.55,231.55,231.55,300,1666000500000
231.45,231.99,231.4,231.98,1334,1666000800000
231.99,232.93,231.99,232.93,3179,1666001100000
232.55,232.55,232.25,232.25,810,1666001400000
232.26,232.26,232.12,232.12,200,1666001700000
232.15,232.15,232.15,232.15,300,1666002600000
232.02,232.02,231.75,231.85,726,1666002900000
231.71,231.74,231.7,231.74,523,1666003200000
231.79,231.82,231.79,231.82,500,1666003500000
232.0,232.0,231.34,231.34,6012,1666004400000
231.5,231.68,231.5,231.6,1419,1666004700000
231.78,231.78,231.68,231.7,794,1666005000000
231.66,231.72,231.66,231.72,330,1666005300000
231.79,231.86,231.79,231.84,400,1666005600000
231.85,231.9,231.8,231.8,488,1666005900000
231.8,231.8,231.7,231.75,411,1666006200000
231.62,231.62,231.6,231.6,200,1666006500000
231.65,231.65,231.65,231.65,100,1666006800000
231.7,231.7,231.7,231.7,471,1666007100000
231.88,231.88,231.75,231.75,200,1666007400000
231.89,232.3,231.89,232.0,3834,1666007700000
227.989,232.4,227.989,232.1096,4336,1666008000000
232.1083,232.1083,231.63,231.8,8852,1666008300000
231.9233,231.9233,231.46,231.46,2936,1666008600000
231.56,231.75,231.5,231.75,1100,1666008900000
231.91,232.4,231.91,232.3919,4666,1666009200000
232.18,232.18,232.12,232.13,738,1666009500000
232.3,232.8269,232.27,232.49,5322,1666009800000
232.69,232.9379,232.55,232.55,1917,1666010100000
232.84,233.44,232.83,233.4069,18073,1666010400000
233.4383,233.4383,232.71,233.25,5255,1666010700000
232.95,233.3,232.95,233.28,4213,1666011000000
233.25,233.49,233.15,233.33,3951,1666011300000
233.48,233.9,233.37,233.9,10992,1666011600000
233.9949,234.0,233.36,233.4,3536,1666011900000
233.46,233.9,233.46,233.85,9129,1666012200000
233.83,234.2,233.81,234.2,5525,1666012500000
234.2,234.3,233.62,233.62,20361,1666012800000
233.61,235.93,233.53,235.93,43096,1666013100000
235.82,237.25,235.68,236.845,1023407,1666013400000
236.83,237.47,236.3901,237.1,434862,1666013700000
237.132,238.57,237.11,238.33,553858,1666014000000
238.31,238.75,237.8387,238.728,516648,1666014300000
238.745,238.96,237.88,238.04,469070,1666014600000
238.07,238.14,236.91,237.181,354421,1666014900000
237.18,237.44,236.65,236.96,190037,1666015200000
236.96,237.19,236.6,236.744,174886,1666015500000
236.72,237.96,236.66,237.91,205380,1666015800000
237.92,238.06,237.11,237.18,244130,1666016100000
237.2,237.335,236.85,237.0,227986,1666016400000
236.98,237.16,236.78,236.98,117964,1666016700000
237.0,237.32,236.545,236.56,198825,1666017000000
236.6,237.32,236.6,237.15,168933,1666017300000
237.17,237.35,236.89,237.05,211623,1666017600000
237.0013,237.16,236.57,236.67,168570,1666017900000
236.66,236.6699,235.63,235.84,252905,1666018200000
235.81,236.0,235.4211,235.879,185463,1666018500000
235.87,236.4,235.83,236.1366,190889,1666018800000
236.16,236.175,235.52,235.621,149123,1666019100000
235.64,236.11,235.58,235.75,193026,1666019400000
235.72,235.73,235.135,235.37,235255,1666019700000
235.37,236.35,235.26,236.335,150443,1666020000000
236.3246,236.71,236.18,236.68,168121,1666020300000
236.655,236.77,236.41,236.52,194262,1666020600000
236.5,236.55,236.17,236.4299,157584,1666020900000
236.4,236.87,236.39,236.57,136117,1666021200000
236.55,236.905,236.465,236.79,155065,1666021500000
236.7887,237.49,236.76,237.39,196876,1666021800000
237.3801,237.3801,236.93,237.11,170929,1666022100000
237.09,237.2227,236.667,236.765,141693,1666022400000
236.76,237.24,236.58,237.07,126779,1666022700000
237.06,237.06,236.15,236.42,108547,1666023000000
236.42,236.562,236.16,236.23,82440,1666023300000
236.1901,236.5401,236.12,236.44,142422,1666023600000
236.43,236.64,236.34,236.49,102859,1666023900000
236.51,237.0,236.42,236.92,116891,1666024200000
236.92,237.09,236.44,236.62,106981,1666024500000
236.62,236.64,235.91,236.14,141692,1666024800000
236.12,236.48,235.78,236.32,169902,1666025100000
236.29,236.48,236.18,236.47,69905,1666025400000
236.47,236.47,235.9201,236.06,74958,1666025700000
236.04,236.22,235.61,235.89,127827,1666026000000
235.89,236.39,235.885,236.22,128285,1666026300000
236.18,236.382,236.07,236.15,80247,1666026600000
236.15,236.52,235.95,236.06,79280,1666026900000
236.0494,236.78,235.92,236.72,85439,1666027200000
236.7292,236.74,236.36,236.4955,79848,1666027500000
236.51,236.73,236.42,236.59,93467,1666027800000
236.6,236.99,236.55,236.99,100911,1666028100000
236.98,237.08,236.87,236.89,93003,1666028400000
236.89,237.47,236.86,237.36,102588,1666028700000
237.3384,237.5,237.27,237.4786,116573,1666029000000
237.47,237.56,237.26,237.47,177639,1666029300000
237.48,237.85,237.06,237.3427,178082,1666029600000
237.35,237.68,237.24,237.68,152760,1666029900000
237.68,237.96,237.65,237.77,152435,1666030200000
237.77,237.8,237.59,237.79,111557,1666030500000
237.7723,237.773,237.43,237.62,104121,1666030800000
237.62,237.85,237.33,237.72,137373,1666031100000
237.72,237.74,237.38,237.44,115399,1666031400000
237.4201,237.89,237.41,237.87,93914,1666031700000
237.87,238.03,237.78,237.91,114077,1666032000000
237.91,237.97,237.7001,237.842,88737,1666032300000
237.8335,237.845,237.54,237.61,76262,1666032600000
237.605,237.68,237.33,237.43,98922,1666032900000
237.41,237.45,236.86,237.01,157108,1666033200000
237.015,237.22,236.9001,236.98,154900,1666033500000
236.95,237.15,236.76,237.04,153720,1666033800000
237.04,237.19,236.73,237.0575,178837,1666034100000
237.07,237.3,236.77,237.25,129335,1666034400000
237.2599,237.2955,237.08,237.24,140936,1666034700000
237.24,237.53,237.08,237.32,204418,1666035000000
237.31,237.3599,237.07,237.16,216140,1666035300000
237.16,237.58,237.04,237.48,255809,1666035600000
237.45,237.59,237.26,237.5016,334095,1666035900000
237.51,237.95,237.51,237.76,653999,1666036200000
237.75,237.75,236.93,237.53,1276336,1666036500000
237.53,237.83,237.3,237.53,5973072,1666036800000
237.51,237.73,237.35,237.53,104274,1666037100000
237.58,237.61,237.53,237.53,41318,1666037400000
237.6,237.99,237.6,237.99,2771,1666037700000
237.88,237.88,237.88,237.88,1000,1666038000000
237.75,237.8769,237.75,237.8769,300,1666038300000
237.8,237.8,237.8,237.8,100,1666038600000
237.75,237.75,237.75,237.75,2826,1666038900000
237.85,238.0,237.83,238.0,1385,1666039200000
237.99,237.99,237.99,237.99,200,1666039500000
238.0,238.1,238.0,238.1,1783,1666039800000
238.05,238.05,237.76,237.78,5674,1666040100000
237.9977,238.0,237.9977,238.0,579,1666040400000
237.76,237.81,237.76,237.76,1166,1666040700000
237.85,237.85,237.85,237.85,634,1666041000000
237.81,237.81,237.81,237.81,100,1666041300000
237.8,238.06,237.8,238.06,4678,1666041600000
237.8906,238.1585,237.89,238.1585,450,1666041900000
237.9981,238.0802,237.9981,238.0802,300,1666042500000
238.09,238.09,238.09,238.09,200,1666042800000
238.2022,238.2022,238.2022,238.2022,100,1666043400000
238.39,238.95,238.39,238.7,4869,1666044000000
238.62,238.62,238.55,238.55,452,1666044300000
238.61,238.61,238.61,238.61,200,1666044600000
238.65,238.75,238.65,238.75,868,1666044900000
238.85,238.85,238.7,238.81,1022,1666045200000
238.85,239.05,238.85,239.05,2210,1666045500000
238.82,239.05,238.82,239.0,3058,1666045800000
238.82,238.84,238.6,238.6,1045,1666046100000
238.55,238.83,238.55,238.83,894,1666046400000
238.8,239.0,238.8,239.0,580,1666046700000
239.0,239.25,239.0,239.25,1604,1666047000000
239.3,239.3,239.3,239.3,197,1666047300000
239.2,239.2,239.2,239.2,219,1666047600000
239.32,239.32,239.32,239.32,100,1666047900000
239.41,239.5,239.41,239.5,404,1666048200000
239.49,239.69,239.45,239.59,3172,1666048500000
239.62,239.88,239.55,239.88,1102,1666048800000
239.8,239.8,239.75,239.8,833,1666049100000
239.83,239.85,239.78,239.8,1836,1666049400000
239.72,239.81,239.64,239.64,712,1666050000000
239.7,239.85,239.63,239.75,1675,1666050300000
239.88,239.9,239.65,239.65,1523,1666050600000
239.87,239.92,239.8,239.92,1359,1666050900000
241.01,242.01,241.01,241.99,1425,1666080000000
241.79,242.12,241.73,241.73,2587,1666080300000
241.92,242.07,241.61,241.61,935,1666080600000
241.5,241.78,241.5,241.71,1639,1666080900000
241.5,241.56,241.28,241.56,797,1666081200000
241.55,241.96,241.55,241.96,1592,1666081500000
241.79,241.85,241.71,241.71,867,1666081800000
241.53,241.54,241.51,241.54,678,1666082100000
241.28,241.28,241.27,241.27,220,1666082400000
241.01,241.01,240.35,240.35,368,1666083300000
240.35,240.82,240.09,240.82,637,1666083600000
240.69,240.7,240.51,240.51,12330,1666084800000
240.5,240.5,240.5,240.5,395,1666085400000
240.5,240.5,240.5,240.5,250,1666086000000
240.5,240.95,240.5,240.95,593,1666086300000
241.0,241.0,241.0,241.0,100,1666086600000
241.0,241.7,241.0,241.67,764,1666086900000
241.67,241.88,241.67,241.88,567,1666087200000
241.72,241.73,241.6,241.6,512,1666087500000
241.49,241.49,241.49,241.49,120,1666088100000
241.83,242.0,241.83,242.0,467,1666088400000
241.45,241.45,241.43,241.43,660,1666088700000
241.19,241.19,241.1,241.1,1505,1666089000000
241.6,242.1,241.6,242.1,4257,1666089300000
241.3,241.3,241.3,241.3,1099,1666089600000
241.31,241.34,241.31,241.34,1052,1666090200000
241.3,241.3,241.3,241.3,124,1666090500000
241.01,241.53,241.01,241.52,3872,1666090800000
241.42,241.7,241.42,241.6,2242,1666091100000
241.69,241.75,241.5,241.5,4117,1666091400000
241.45,241.45,241.45,241.45,200,1666091700000
241.48,241.75,241.48,241.75,4080,1666092000000
241.73,241.73,241.63,241.63,732,1666092300000
241.65,242.0,241.6,241.88,2670,1666092600000
242.0,242.1,241.76,242.1,2107,1666092900000
242.24,242.51,242.2,242.5,3105,1666093200000
242.6,242.61,242.4,242.49,2344,1666093500000
242.4,242.4,242.3,242.31,600,1666093800000
242.3,242.45,242.2,242.35,8124,1666094100000
242.2014,242.52,236.937,242.52,12495,1666094400000
242.4968,242.55,242.33,242.55,2877,1666094700000
242.59,243.1892,242.57,242.78,9926,1666095000000
242.78,243.2283,242.78,242.93,7707,1666095300000
242.93,243.0,242.82,242.83,4660,1666095600000
242.75,242.9727,242.75,242.8,825,1666095900000
242.94,243.6,242.94,243.58,10916,1666096200000
243.52,243.78,243.26,243.7,8103,1666096500000
243.65,243.844,243.39,243.39,4395,1666096800000
243.42,243.5,243.24,243.5,4015,1666097100000
243.57,243.78,243.42,243.67,9992,1666097400000
243.88,244.0,243.68,243.8,3027,1666097700000
243.7,243.8,243.65,243.7,6506,1666098000000
243.65,243.84,243.65,243.66,21502,1666098300000
243.65,243.96,243.25,243.96,11463,1666098600000
243.26,243.59,243.0,243.2,4949,1666098900000
243.2,243.63,243.18,243.62,9565,1666099200000
243.57,244.16,243.04,243.37,38805,1666099500000
243.39,243.93,242.06,242.35,1084891,1666099800000
242.34,242.462,240.78,240.9,425577,1666100100000
240.9,241.7299,240.58,241.43,444454,1666100400000
241.41,241.6,240.91,240.91,307828,1666100700000
240.9,241.1,240.32,240.51,440630,1666101000000
240.51,240.89,239.729,239.99,387469,1666101300000
240.0,240.37,239.7322,240.15,316992,1666101600000
240.14,241.01,239.5599,240.9131,439757,1666101900000
240.91,241.3,240.75,241.12,321979,1666102200000
241.1,241.34,240.59,241.19,271380,1666102500000
241.2,241.27,240.45,240.46,194711,1666102800000
240.4434,240.64,239.77,239.78,190421,1666103100000
239.75,240.0,239.14,239.3913,221618,1666103400000
239.39,239.53,238.68,238.94,251224,1666103700000
238.92,239.33,238.91,239.305,153878,1666104000000
239.305,239.97,239.13,239.8217,215179,1666104300000
239.81,239.93,239.56,239.8934,152149,1666104600000
239.88,239.88,239.51,239.6,97315,1666104900000
239.55,239.56,238.87,239.21,180666,1666105200000
239.17,239.44,238.1748,238.34,178767,1666105500000
238.33,238.63,237.22,237.39,269575,1666105800000
237.35,237.86,237.29,237.4,209506,1666106100000
237.41,237.52,236.195,236.31,267523,1666106400000
236.29,236.628,235.97,236.56,313407,1666106700000
236.55,236.74,236.1835,236.52,237150,1666107000000
236.53,236.64,235.38,235.75,257483,1666107300000
235.78,236.03,235.37,235.99,274474,1666107600000
236.0,236.83,235.88,236.7,198444,1666107900000
236.74,237.18,236.64,237.0746,173690,1666108200000
237.075,237.32,236.86,237.25,191914,1666108500000
237.23,237.38,237.01,237.38,127892,1666108800000
237.38,238.16,236.92,237.96,281983,1666109100000
237.97,238.29,237.73,238.06,169774,1666109400000
238.06,238.3799,237.76,238.18,186653,1666109700000
238.185,238.27,237.68,237.73,181227,1666110000000
237.72,237.8229,237.4217,237.769,138561,1666110300000
237.79,238.0488,237.53,237.94,83538,1666110600000
237.94,238.83,237.94,238.59,196534,1666110900000
238.555,239.05,238.38,238.3972,244649,1666111200000
238.4,238.54,238.07,238.36,170492,1666111500000
238.35,238.88,238.33,238.685,142534,1666111800000
238.68,238.73,238.02,238.16,189391,1666112100000
238.16,238.35,236.9,237.01,251742,1666112400000
237.02,237.785,236.95,237.44,187974,1666112700000
237.4638,238.11,237.32,237.9901,102803,1666113000000
237.99,238.03,237.7,237.82,108123,1666113300000
237.83,238.06,237.44,237.88,123244,1666113600000
237.85,238.47,237.83,238.24,166137,1666113900000
238.23,239.03,238.05,238.97,158410,1666114200000
239.0,239.0,238.69,238.95,109297,1666114500000
238.95,239.11,238.84,238.9544,150718,1666114800000
238.99,239.06,238.3474,238.99,108649,1666115100000
238.99,239.16,238.77,239.04,155143,1666115400000
239.03,239.32,238.91,239.07,137502,1666115700000
239.04,239.19,238.41,238.475,123894,1666116000000
238.47,238.82,238.24,238.44,116584,1666116300000
238.48,238.85,238.4793,238.7699,109370,1666116600000
238.76,238.76,238.25,238.35,87308,1666116900000
238.355,238.81,238.22,238.7,90013,1666117200000
238.73,238.7551,238.41,238.65,127950,1666117500000
238.66,238.66,238.29,238.61,95363,1666117800000
238.62,238.76,237.65,237.905,165612,1666118100000
237.85,238.02,236.85,236.91,218420,1666118400000
236.9,237.09,236.22,236.97,243638,1666118700000
236.97,237.53,236.69,237.49,178423,1666119000000
237.47,237.69,237.19,237.45,156236,1666119300000
237.43,237.52,236.76,237.0,155617,1666119600000
237.0001,237.38,236.91,236.94,102319,1666119900000
236.9599,237.18,236.6,236.8,108846,1666120200000
236.8,237.32,236.7,237.21,146115,1666120500000
237.2,237.75,237.02,237.645,143893,1666120800000
237.6728,238.04,237.49,237.9014,122056,1666121100000
237.9,238.97,237.83,238.6,277116,1666121400000
238.62,238.6799,238.15,238.44,155766,1666121700000
238.47,238.97,238.35,238.8,216641,1666122000000
238.805,238.82,238.4401,238.66,185536,1666122300000
238.64,239.23,238.13,238.19,252015,1666122600000
238.18,238.61,237.84,238.56,928902,1666122900000
238.55,241.0,238.24,240.6,2661182,1666123200000
240.6,240.63,238.5,239.91,12513,1666123500000
239.8814,240.8,238.5,240.8,33546,1666123800000
240.6,241.5,240.59,241.5,7906,1666124100000
241.5,241.5,241.01,241.5,5685,1666124400000
241.7792,241.8,241.62,241.76,14582,1666124700000
241.89,242.0,241.7,241.85,9448,1666125000000
241.85,241.9,241.71,241.9,6673,1666125300000
241.94,242.18,241.9,242.08,3095,1666125600000
242.15,242.2,241.9,242.0,8061,1666125900000
241.9,241.9,241.6,241.6,2202,1666126200000
241.732,241.732,241.3002,241.6,5330,1666126500000
241.52,241.52,241.37,241.37,2426,1666126800000
241.25,241.35,241.02,241.35,3327,1666127100000
241.28,241.5,241.2,241.22,5736,1666127400000
241.25,241.4,241.25,241.3,2474,1666127700000
241.3,241.5,241.25,241.5,1855,1666128000000
241.69,241.9,241.5,241.9,1364,1666128300000
241.5,241.9,241.5,241.9,1213,1666128600000
241.88,241.93,241.75,241.9,1837,1666128900000
241.81,241.82,241.8,241.8,704,1666129200000
241.81,241.81,241.69,241.69,537,1666129500000
241.8885,241.8885,241.85,241.85,300,1666129800000
241.5715,241.75,241.55,241.75,390,1666130100000
241.51,241.52,241.23,241.24,1818,1666130400000
241.45,241.45,241.34,241.34,318,1666130700000
241.31,241.31,241.2,241.2,1073,1666131000000
241.11,241.11,241.11,241.11,345,1666131300000
241.11,241.11,240.58,240.58,1679,1666131600000
240.71,240.75,240.71,240.75,400,1666131900000
240.8,240.9,240.8,240.9,200,1666132200000
241.04,241.04,241.04,241.04,100,1666132800000
241.02,241.02,240.9,240.9,200,1666133100000
241.08,241.08,241.07,241.08,515,1666133400000
241.0,241.03,240.8301,240.8301,1000,1666133700000
241.05,241.05,240.95,240.95,215,1666134000000
241.1,241.88,240.99,241.7,5717,1666134300000
241.98,242.3,241.8,242.3,2620,1666134600000
242.34,242.52,242.25,242.25,718,1666135200000
242.32,242.32,242.32,242.32,491,1666135500000
242.2,242.59,242.2,242.59,753,1666135800000
242.31,242.31,242.06,242.06,875,1666136100000
242.01,242.08,241.68,241.68,2013,1666136400000
241.65,241.69,241.35,241.69,577,1666136700000
241.68,241.7,241.43,241.43,824,1666137000000
241.51,241.55,241.51,241.55,1749,1666137300000
239.17,239.17,238.73,238.84,1255,1666166400000
238.59,238.59,238.58,238.58,789,1666166700000
238.5,238.79,238.41,238.43,939,1666167000000
238.43,238.44,238.17,238.17,968,1666167300000
238.0,238.05,237.65,238.05,1345,1666167600000
237.75,237.76,237.6,237.6,1164,1666167900000
237.95,238.17,237.95,238.0,9855,1666168200000
238.35,238.4,237.88,238.25,1370,1666168500000
238.25,238.25,238.15,238.25,1898,1666168800000
238.49,238.51,238.49,238.5,436,1666169100000
238.7,238.7,238.7,238.7,7998,1666169400000
239.3,239.3,239.3,239.3,100,1666170300000
239.39,239.39,239.39,239.39,100,1666170900000
239.3,239.3,239.3,239.3,715,1666171200000
239.04,239.04,239.04,239.04,100,1666171500000
239.62,239.62,239.62,239.62,116,1666172400000
239.65,239.65,239.65,239.65,115,1666172700000
240.2,240.2,240.15,240.15,300,1666173300000
240.35,240.35,240.35,240.35,496,1666173600000
239.72,239.72,239.72,239.72,100,1666175100000
239.06,239.46,239.06,239.46,903,1666175400000
239.37,239.63,238.42,238.42,2716,1666175700000
238.35,238.35,237.33,237.36,1702,1666176000000
237.56,237.56,237.56,237.56,1001,1666176300000
238.19,238.54,238.19,238.54,215,1666176600000
238.19,238.53,238.19,238.53,487,1666176900000
238.58,238.58,238.33,238.46,991,1666177200000
238.5,238.55,238.2,238.2,1789,1666177500000
238.19,238.19,236.88,236.88,3610,1666177800000
237.6,237.62,236.74,236.9,5163,1666178100000
237.01,237.01,236.68,236.68,1570,1666178700000
236.6,236.6,236.33,236.33,700,1666179000000
236.8,237.0,236.8,237.0,957,1666179300000
236.75,236.75,236.75,236.75,1825,1666179600000
237.0,237.0,237.0,237.0,480,1666179900000
237.25,237.25,237.25,237.25,150,1666180200000
237.01,237.45,237.0,237.45,850,1666180500000
237.904,237.904,236.8,236.81,5341,1666180800000
236.68,236.68,236.28,236.33,5473,1666181100000
236.52,237.2,236.52,237.2,1757,1666181400000
237.13,237.2,236.85,236.85,3970,1666181700000
237.0,237.1,237.0,237.1,1099,1666182000000
237.0,237.0,236.8,236.8,3868,1666182300000
236.5,236.6,236.37,236.6,3707,1666182600000
236.68,236.68,236.5403,236.66,490,1666182900000
236.6,236.97,236.5,236.5,1501,1666183200000
236.47,236.6,236.47,236.6,1308,1666183500000
236.84,237.06,236.67,237.06,3763,1666183800000
236.7238,237.0,236.7238,236.91,1562,1666184100000
236.75,237.0,236.7,236.7,1621,1666184400000
236.99,236.99,236.25,236.25,2176,1666184700000
236.26,236.77,236.2,236.77,1536,1666185000000
236.54,236.7,236.4601,236.56,2345,1666185300000
236.44,236.58,236.44,236.5799,2127,1666185600000
236.72,237.3,236.5,237.1899,15542,1666185900000
237.22,238.1796,236.64,238.1455,591279,1666186200000
238.13,238.57,237.71,237.935,233658,1666186500000
237.92,238.1943,236.51,237.86,322815,1666186800000
237.84,238.06,236.96,237.08,234754,1666187100000
237.07,238.44,237.03,238.06,218270,1666187400000
237.9857,238.2,236.951,237.18,290355,1666187700000
237.14,237.51,236.76,237.46,266068,1666188000000
237.42,238.205,237.42,237.91,221925,1666188300000
237.935,238.505,237.57,238.33,279176,1666188600000
