open,high,low,close,volume,datetime
81.5,81.5,81.5,81.5,106,1665993900000
81.37,81.37,81.37,81.37,100,1665996300000
81.25,81.25,81.25,81.25,100,1665996600000
81.59,81.59,81.59,81.59,200,1665998700000
81.7,81.7,81.7,81.7,100,1666004400000
81.93,81.93,81.85,81.93,521,1666005000000
82.0,82.06,81.9,81.9,1316,1666005900000
81.74,81.74,81.74,81.74,140,1666006500000
81.77,81.77,81.77,81.77,110,1666007700000
81.6,81.6,81.6,81.6,700,1666008000000
81.6,81.6,81.6,81.6,270,1666009200000
81.8399,81.84,81.61,81.84,1827,1666009500000
81.9,82.2,81.9,82.1,3442,1666009800000
82.1,82.1,82.1,82.1,301,1666010100000
82.1,82.3,82.1,82.3,2954,1666010400000
82.41,82.41,82.41,82.41,140,1666010700000
82.32,82.41,82.32,82.32,3239,1666011000000
82.32,82.44,82.32,82.44,1498,1666011300000
82.5,82.58,82.5,82.58,1121,1666011600000
82.88,82.88,82.88,82.88,100,1666011900000
82.86,82.86,82.66,82.66,655,1666012200000
82.85,82.85,82.85,82.85,400,1666012500000
82.82,82.9,82.5,82.58,2768,1666012800000
82.44,82.69,82.3,82.69,1081,1666013100000
82.705,83.4596,82.64,83.26,431258,1666013400000
83.3,83.8699,83.3,83.705,251652,1666013700000
83.72,83.95,83.33,83.35,260279,1666014000000
83.4,83.46,82.99,83.35,217973,1666014300000
83.37,83.4399,83.09,83.175,186733,1666014600000
83.18,83.29,82.85,83.26,199095,1666014900000
83.29,83.64,82.95,83.545,338770,1666015200000
83.53,83.76,83.3255,83.35,334042,1666015500000
83.35,84.145,83.34,84.04,218755,1666015800000
84.05,84.13,83.81,83.96,192420,1666016100000
83.98,84.1,83.7,83.75,217136,1666016400000
83.7595,83.89,83.63,83.77,105961,1666016700000
83.76,83.98,83.5,83.5615,196744,1666017000000
83.57,84.01,83.56,83.75,265059,1666017300000
83.76,84.13,83.63,84.085,403895,1666017600000
84.08,84.14,83.76,83.89,188439,1666017900000
83.87,83.9,83.41,83.525,139406,1666018200000
83.5176,83.58,83.2501,83.34,118930,1666018500000
83.34,83.615,83.3,83.41,136822,1666018800000
83.433,83.51,83.05,83.05,109613,1666019100000
83.07,83.38,83.02,83.25,129424,1666019400000
83.24,83.25,82.875,83.0352,148543,1666019700000
83.04,83.24,82.99,83.171,145696,1666020000000
83.16,83.49,83.11,83.47,171163,1666020300000
83.45,83.6614,83.28,83.64,173644,1666020600000
83.65,84.08,83.65,84.07,150677,1666020900000
84.07,84.3,84.05,84.14,169792,1666021200000
84.13,84.13,83.93,84.02,96171,1666021500000
84.015,84.09,83.9202,84.075,81349,1666021800000
84.08,84.18,84.025,84.11,112710,1666022100000
84.095,84.11,83.76,83.92,74615,1666022400000
83.92,84.228,83.85,84.225,126842,1666022700000
84.23,84.23,83.68,83.835,128587,1666023000000
83.83,83.995,83.675,83.74,128119,1666023300000
83.73,83.88,83.59,83.8433,194473,1666023600000
83.87,84.05,83.84,83.89,125337,1666023900000
83.88,84.09,83.78,83.99,123832,1666024200000
83.99,84.06,83.87,83.93,169554,1666024500000
83.93,83.94,83.37,83.56,224685,1666024800000
83.56,84.0,83.47,83.88,208293,1666025100000
83.8827,84.01,83.77,83.97,160342,1666025400000
83.96,84.0,83.8,83.83,133970,1666025700000
83.8103,83.9,83.51,83.9,275305,1666026000000
83.891,83.92,83.6401,83.7,165611,1666026300000
83.695,83.87,83.64,83.82,57027,1666026600000
83.84,83.88,83.67,83.67,160846,1666026900000
83.659,83.97,83.6331,83.91,82269,1666027200000
83.88,83.8973,83.68,83.7899,169449,1666027500000
83.79,83.93,83.63,83.915,105221,1666027800000
83.93,84.03,83.865,83.96,117185,1666028100000
83.955,84.02,83.89,83.97,65628,1666028400000
83.96,84.25,83.94,84.23,162075,1666028700000
84.23,84.39,84.22,84.34,73764,1666029000000
84.33,84.35,84.21,84.3,66359,1666029300000
84.29,84.44,84.16,84.3,136311,1666029600000
84.3001,84.38,84.12,84.38,79736,1666029900000
84.4,84.53,84.29,84.4255,147304,1666030200000
84.42,84.525,84.35,84.525,127893,1666030500000
84.53,84.67,84.46,84.49,155580,1666030800000
84.5,84.5,84.1401,84.35,157508,1666031100000
84.35,84.35,84.205,84.28,48650,1666031400000
