open,high,low,close,volume,datetime
100.6,100.6,100.25,100.25,266,1666004400000
99.95,99.95,99.95,99.95,611,1666005300000
99.88,99.88,99.88,99.88,697,1666006500000
100.1,100.1,99.9,99.9,900,1666006800000
99.97,99.97,99.92,99.92,200,1666007100000
100.0,100.0,100.0,100.0,100,1666007400000
99.92,99.92,99.92,99.92,372,1666007700000
99.92,99.93,99.46,99.46,2252,1666008000000
99.3025,99.37,99.21,99.21,1615,1666008300000
99.23,99.48,99.23,99.48,1250,1666008600000
99.46,99.87,99.4406,99.87,1350,1666009200000
99.85,99.85,99.82,99.82,200,1666009800000
99.83,99.88,99.83,99.88,700,1666010100000
99.96,100.2,99.87,100.2,1352,1666010400000
100.2,100.35,100.2,100.22,4055,1666010700000
100.16,100.16,100.16,100.16,100,1666011000000
100.11,100.17,100.11,100.11,500,1666011300000
100.03,100.52,100.03,100.52,5168,1666011600000
100.36,100.43,100.29,100.43,11297,1666011900000
100.25,100.3,100.22,100.29,3325,1666012200000
100.4,100.56,100.3,100.52,1360,1666012500000
100.31,100.35,100.3,100.33,1364,1666012800000
100.5,101.11,100.5,101.06,7855,1666013100000
101.07,101.58,100.7,101.1,429184,1666013400000
101.12,101.67,101.12,101.58,178277,1666013700000
101.6,101.97,101.59,101.79,203090,1666014000000
101.79,101.88,101.56,101.84,286617,1666014300000
101.8318,101.8689,101.39,101.45,203674,1666014600000
101.45,101.5577,101.03,101.09,131830,1666014900000
101.08,101.29,101.08,101.195,172443,1666015200000
101.2,101.55,101.1,101.33,113696,1666015500000
101.335,101.84,101.27,101.83,152895,1666015800000
101.85,101.915,101.6,101.6312,141912,1666016100000
101.6303,101.86,101.62,101.68,134992,1666016400000
101.66,101.6887,101.51,101.63,118912,1666016700000
101.62,101.805,101.51,101.56,115111,1666017000000
101.55,101.73,101.285,101.37,111496,1666017300000
101.36,101.37,101.2,101.23,82344,1666017600000
101.2,101.2,100.87,100.9,117567,1666017900000
100.9,100.9,100.56,100.73,180620,1666018200000
100.72,100.96,100.7,100.88,136528,1666018500000
100.91,101.26,100.91,101.21,105769,1666018800000
101.18,101.2585,100.98,101.025,133015,1666019100000
101.04,101.27,101.015,101.09,88192,1666019400000
101.07,101.07,100.79,100.82,80498,1666019700000
100.8,101.025,100.77,101.0,66931,1666020000000
100.99,101.12,100.88,101.11,93574,1666020300000
101.1,101.13,100.88,100.9001,95001,1666020600000
100.9,101.07,100.86,101.06,73286,1666020900000
101.07,101.16,100.98,101.06,91973,1666021200000
101.06,101.08,100.94,101.0587,59498,1666021500000
101.05,101.225,100.96,101.225,106386,1666021800000
101.23,101.25,101.1,101.105,90922,1666022100000
101.12,101.15,101.02,101.106,101226,1666022400000
101.09,101.445,101.09,101.415,125092,1666022700000
101.415,101.4401,101.11,101.165,70417,1666023000000
101.18,101.2017,100.9656,100.98,68528,1666023300000
100.96,101.15,100.92,101.15,96384,1666023600000
101.145,101.31,101.09,101.245,65171,1666023900000
101.25,101.37,101.17,101.37,89040,1666024200000
101.37,101.39,101.17,101.2,63930,1666024500000
101.2,101.25,100.9733,101.115,75644,1666024800000
101.11,101.234,100.99,101.205,105704,1666025100000
101.2,101.26,101.15,101.25,55404,1666025400000
101.25,101.3059,101.14,101.24,65070,1666025700000
101.25,101.32,101.03,101.149,82629,1666026000000
101.14,101.35,101.1299,101.3,84253,1666026300000
101.26,101.4,101.2278,101.4,64755,1666026600000
101.4,101.48,101.22,101.24,68882,1666026900000
101.2281,101.46,101.2,101.38,63844,1666027200000
101.395,101.4006,101.27,101.312,45899,1666027500000
101.31,101.32,101.23,101.27,55306,1666027800000
101.27,101.34,101.21,101.25,59162,1666028100000
101.245,101.33,101.195,101.2599,73972,1666028400000
101.24,101.32,101.19,101.27,63690,1666028700000
101.27,101.36,101.23,101.24,66745,1666029000000
101.23,101.235,101.1,101.1071,92381,1666029300000
101.11,101.205,100.9474,100.96,104268,1666029600000
100.94,100.96,100.79,100.83,106690,1666029900000
100.82,100.82,100.57,100.68,79946,1666030200000
100.67,100.67,100.5,100.62,98492,1666030500000
100.61,100.66,100.54,100.65,68379,1666030800000
100.665,100.8003,100.6092,100.79,78594,1666031100000
100.8,100.88,100.72,100.84,78611,1666031400000
100.8343,100.95,100.82,100.905,110901,1666031700000
100.9,100.98,100.855,100.915,67644,1666032000000
100.92,100.98,100.8201,100.87,47220,1666032300000
100.87,100.895,100.77,100.82,38642,1666032600000
100.8195,100.93,100.7823,100.87,71186,1666032900000
100.85,100.95,100.76,100.84,80278,1666033200000
100.85,100.94,100.7463,100.85,82963,1666033500000
100.84,100.89,100.785,100.85,65769,1666033800000
100.84,100.94,100.8,100.93,111780,1666034100000
100.92,101.02,100.81,101.02,106985,1666034400000
101.015,101.09,101.0,101.065,101835,1666034700000
101.06,101.18,100.96,101.1601,139042,1666035000000
101.17,101.18,100.95,101.015,113799,1666035300000
101.02,101.21,101.01,101.14,151418,1666035600000
101.135,101.145,100.9307,100.935,184039,1666035900000
100.94,101.04,100.79,100.94,274782,1666036200000
100.935,100.94,100.56,100.64,786752,1666036500000
100.7,100.8,100.62,100.8,2500397,1666036800000
100.8,100.8,100.62,100.62,21925,1666037100000
100.62,100.765,100.62,100.75,6756,1666037400000
100.76,100.76,100.7,100.7,1101,1666037700000
100.76,100.76,100.76,100.76,102,1666038000000
100.76,100.76,100.69,100.7,3547,1666038300000
100.69,100.7,100.69,100.69,450,1666038600000
100.7,100.71,100.7,100.71,200,1666038900000
100.73,100.85,100.62,100.84,135640,1666039200000
100.86,100.86,100.84,100.84,450,1666039800000
100.89,100.8901,100.89,100.8901,350,1666040100000
100.89,100.89,100.89,100.89,300,1666040400000
100.84,100.84,100.84,100.84,150,1666041600000
100.9,100.949,100.9,100.949,390,1666042500000
100.95,100.95,100.95,100.95,300,1666043400000
100.95,100.95,100.95,100.95,300,1666043700000
100.95,100.99,100.95,100.99,498,1666044000000
100.99,100.99,100.99,100.99,1100,1666045200000
101.0,101.0,101.0,101.0,1249,1666045500000
101.16,101.17,101.16,101.17,650,1666047300000
101.19,101.2,101.19,101.2,447,1666047600000
101.19,101.2,101.19,101.2,1000,1666047900000
101.2,101.2,101.2,101.2,200,1666048200000
101.19,101.19,101.19,101.19,247,1666048500000
101.2,101.21,101.2,101.21,367,1666049100000
101.22,101.22,101.22,101.22,150,1666050000000
101.23,101.23,101.2,101.2,231,1666050600000
101.15,101.15,101.15,101.15,200,1666050900000
101.54,101.54,101.54,101.54,300,1666082400000
101.22,101.33,101.22,101.33,600,1666083300000
101.12,101.12,101.12,101.12,100,1666083600000
100.63,100.63,100.63,100.63,100,1666085100000
100.88,100.88,100.88,100.88,100,1666086900000
101.2,101.29,101.15,101.29,1074,1666090800000
101.35,101.35,101.33,101.33,208,1666091400000
101.15,101.15,101.15,101.15,188,1666092000000
101.32,101.32,101.32,101.32,197,1666092600000
101.35,101.35,101.2,101.2,953,1666092900000
101.41,101.45,101.4,101.4,602,1666093200000
101.56,101.59,101.56,101.59,200,1666093500000
101.57,101.57,101.5,101.5,400,1666093800000
101.46,101.56,101.46,101.56,1183,1666094100000
101.56,101.57,101.5,101.5,1500,1666094400000
101.57,101.72,101.57,101.72,1822,1666094700000
101.82,102.0,101.79,101.91,3147,1666095000000
101.93,102.1,101.93,102.01,5543,1666095300000
102.05,102.07,101.93,101.93,1726,1666095600000
101.8,101.89,101.8,101.85,2046,1666096200000
101.81,101.86,101.81,101.82,1700,1666096500000
101.9,101.94,101.86,101.86,7091,1666096800000
101.8,101.8,101.57,101.6,4931,1666097100000
101.64,101.69,101.64,101.68,732,1666097400000
101.75,101.75,101.68,101.68,2489,1666097700000
101.68,101.68,101.39,101.4,3770,1666098000000
101.4,101.44,101.4,101.44,1610,1666098300000
101.4,101.4,101.06,101.06,5486,1666098900000
101.065,101.2,101.04,101.04,2411,1666099200000
101.4722,101.5,101.39,101.43,2259,1666099500000
101.54,101.8973,101.28,101.61,362947,1666099800000
101.5872,102.23,101.58,102.15,421667,1666100100000
102.15,102.35,101.79,101.7988,279518,1666100400000
101.79,101.795,101.19,101.55,313700,1666100700000
101.558,101.69,100.95,101.05,277120,1666101000000
101.06,101.521,101.04,101.1,173486,1666101300000
101.1,101.59,101.025,101.46,211847,1666101600000
101.45,101.47,101.13,101.25,170493,1666101900000
101.2371,101.49,101.1,101.13,132041,1666102200000
101.11,101.28,101.01,101.215,112677,1666102500000
101.22,101.22,100.93,100.96,152858,1666102800000
100.96,101.0,100.75,100.79,136836,1666103100000
100.8,100.86,100.52,100.67,152759,1666103400000
100.69,100.71,100.3,100.45,185788,1666103700000
100.435,100.62,100.34,100.62,219743,1666104000000
100.62,100.67,100.4745,100.5,103650,1666104300000
100.49,100.52,100.24,100.33,108885,1666104600000
100.33,100.45,100.16,100.18,126048,1666104900000
100.17,100.33,99.98,100.3,137822,1666105200000
100.29,100.35,100.02,100.05,96291,1666105500000
100.04,100.07,99.68,99.79,124840,1666105800000
99.79,99.8987,99.62,99.87,177276,1666106100000
99.8729,99.8729,99.54,99.555,115001,1666106400000
99.55,99.74,99.51,99.72,112730,1666106700000
99.72,99.76,99.5,99.625,102613,1666107000000
99.635,99.635,99.3,99.45,91794,1666107300000
99.48,99.49,99.23,99.455,105410,1666107600000
99.455,99.73,99.4,99.71,128437,1666107900000
99.71,99.85,99.68,99.77,128831,1666108200000
